Quarter,hdbrpi,labour-cost,gdp,population,cpi,exchange-rate,consumer-spending,overall unemployment,sti
 2005 1Q ,77.2,90.3,"50,503.10","3,426,903",76.373,1.6498,50.92862293,78200,2141.429932
 2005 2Q ,73.5,79.1,"51,193.30","3,440,540",76.02,1.6832,52.35577552,80400,2212.659912
 2005 3Q ,73.2,79.3,"53,712.80","3,454,177",77.289,1.6891,53.78292812,82900,2305.139893
 2005 4Q ,73.5,87.6,"57,313.80","3,467,814",77.534,1.6642,55.21008071,67600,2347.340088
 2006 1Q ,73.6,89.4,"55,792.40","3,482,334",77.252,1.6183,56.63723331,62700,2533.399902
 2006 2Q ,74.3,80.3,"57,286.50","3,496,854",77.069,1.5894,59.10918701,70200,2435.389893
 2006 3Q ,74.2,80.7,"59,703.40","3,511,374",77.627,1.5869,61.58114071,73600,2568.860107
 2006 4Q ,74.9,90.4,"63,376.50","3,525,894",78.161,1.5336,64.05309441,74200,2985.830078
 2007 1Q ,75.8,93.9,"63,562","3,540,191",77.43,1.5172,66.52504811,73300,3231.23999
 2007 2Q ,78.1,86.1,"66,974","3,554,488",78.384,1.5326,69.23123042,62900,3548.199951
 2007 3Q ,83.2,84.3,"70,005.20","3,568,785",79.963,1.4909,71.93741274,48800,3706.22998
 2007 4Q ,88,95.9,"72,156.40","3,583,082",81.147,1.4412,74.64359505,49200,3482.300049
 2008 1Q ,91.3,95.2,"68,713.80","3,597,976",82.632,1.3799,77.34977737,53100,3007.360107
 2008 2Q ,95.4,86.1,"68,444.90","3,612,871",84.296,1.3616,76.99213708,64500,2947.540039
 2008 3Q ,99.4,88.7,"70,075.90","3,627,765",85.361,1.4314,76.6344968,68400,2358.909912
 2008 4Q ,100.8,99.6,"66,707","3,642,659",85.501,1.4392,76.27685651,81600,1761.560059
 2009 1Q ,100,103.8,"64,780.70","3,665,463",84.751,1.5194,75.91921623,96200,1699.98999
 2009 2Q ,101.4,87.7,"68,325.90","3,688,268",84.283,1.4498,78.72479904,97200,2333.139893
 2009 3Q ,105,84.9,"72,667.90","3,711,072",85.008,1.4141,81.53038186,102100,2672.570068
 2009 4Q ,109,94.2,"76,620","3,733,876",85.05,1.4034,84.33596467,71200,2897.620117
 2010 1Q ,112.1,96.3,"77,894.60","3,743,337",86.115,1.4028,87.14154749,69400,2887.459961
 2010 2Q ,116.6,80.7,"81,297.40","3,752,799",86.567,1.4013,90.92769425,68900,2835.51001
 2010 3Q ,121.3,86.2,"81,821.50","3,762,260",88.129,1.3175,94.713841,67800,3097.629883
 2010 4Q ,124.4,95.7,"85,966.60","3,771,721",88.954,1.2875,98.49998776,71300,3190.040039
 2011 1Q ,126.4,97.6,"86,446.50","3,776,104",90.458,1.2617,102.2861345,62100,3105.850098
 2011 2Q ,130.4,86,"86,328.40","3,780,486",91.103,1.2292,104.235946,66000,3120.439941
 2011 3Q ,135.4,85.6,"88,232.80","3,784,869",92.941,1.3003,106.1857575,67800,2675.159912
 2011 4Q ,137.7,95.1,"90,360.20","3,789,251",93.877,1.3007,108.135569,69300,2646.350098
 2012 1Q ,138.5,98.6,"91,100.60","3,796,490",95.207,1.2572,110.0853805,69000,3010.459961
 2012 2Q ,140.3,87.1,"92,593","3,803,728",95.924,1.2737,111.2712599,65800,2878.449951
 2012 3Q ,143.1,89.7,"90,228.10","3,810,967",97.298,1.2254,112.4571392,66100,3060.340088
 2012 4Q ,146.7,98.3,"94,848.80","3,818,205",97.936,1.2221,113.6430186,63500,3167.080078
 2013 1Q ,148.6,101,"93,773","3,824,842",98.574,1.2436,114.8288979,65700,3308.100098
 2013 2Q ,149.4,88.5,"95,587.20","3,831,478",97.656,1.2652,115.7053882,67900,3150.439941
 2013 3Q ,148.1,89.3,"96,028.30","3,838,115",98.865,1.2572,116.5818785,63300,3167.870117
 2013 4Q ,145.8,99.7,"99,481.80","3,844,751",99.404,1.2653,117.4583688,66000,3167.429932
