 Subject: National Accounts 
 Topic : Gross Domestic Product 
" Title  : M015161 - Gross Domestic Product At Current Prices, By Industry (SSIC 2015 Version 2018), Quarterly "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Million Dollars
 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q , 2020 1Q , 2020 2Q ,
 GDP At Current Market Prices ," 3,209.4 "," 3,307 "," 3,519.3 "," 3,693 "," 3,545.1 "," 3,620.2 "," 3,846.5 "," 3,991.6 "," 3,873.5 "," 3,963.1 "," 4,172.4 "," 4,344.2 "," 4,284.1 "," 4,376.8 "," 4,695.8 "," 4,980.7 "," 4,768.5 "," 5,061.6 "," 5,461.2 "," 5,849.9 "," 6,017.1 "," 6,246.6 "," 6,617.9 "," 6,988 "," 6,974.4 "," 7,298.3 "," 7,845.2 "," 8,234.1 "," 8,064.3 "," 8,199 "," 8,617.1 "," 9,100.8 "," 8,816 "," 9,329.5 "," 9,797.8 "," 10,114.7 "," 9,931 "," 10,225.8 "," 10,668.8 "," 10,904.8 "," 10,440.2 "," 10,180.7 "," 10,219.9 "," 10,022 "," 9,769 "," 9,961.4 "," 10,288 "," 10,874.3 "," 10,427.3 "," 10,982.5 "," 11,725.2 "," 12,414.5 "," 12,109.6 "," 12,854.7 "," 13,803 "," 14,665 "," 13,954.6 "," 14,854.3 "," 15,789.2 "," 16,710.4 "," 16,669.5 "," 17,087.7 "," 17,930.1 "," 18,805 "," 18,521 "," 19,058.1 "," 20,151.6 "," 20,812.1 "," 19,958.9 "," 20,381.9 "," 21,674.3 "," 22,905.1 "," 22,554.2 "," 23,633.7 "," 24,980.3 "," 26,754.9 "," 26,288.3 "," 26,949 "," 29,045 "," 30,273.1 "," 28,926.8 "," 30,105.4 "," 32,070.8 "," 33,360.3 "," 32,774.3 "," 33,179 "," 33,910.5 "," 35,913.4 "," 34,790.5 "," 36,840.4 "," 38,251.6 "," 38,781.9 "," 35,996.4 "," 35,854.7 "," 35,884.4 "," 35,739.4 "," 33,909.9 "," 36,198.8 "," 37,466.3 "," 38,677.5 "," 38,264.8 "," 40,050.2 "," 42,949.8 "," 44,367.6 "," 41,459.4 "," 40,180.2 "," 39,432.8 "," 39,813.2 "," 40,549.3 "," 41,324.7 "," 41,446.2 "," 42,377.9 "," 42,119.5 "," 40,129.5 "," 42,593.9 "," 45,275 "," 46,629.9 "," 46,731.1 "," 49,227.6 "," 51,844.4 "," 50,503.1 "," 51,193.3 "," 53,712.8 "," 57,313.8 "," 55,792.4 "," 57,286.5 "," 59,703.4 "," 63,376.5 "," 63,562 "," 66,974 "," 70,005.2 "," 72,156.4 "," 68,713.8 "," 68,444.9 "," 70,075.9 "," 66,707 "," 64,780.7 "," 68,325.9 "," 72,667.9 "," 76,620 "," 77,894.6 "," 81,297.4 "," 81,821.5 "," 85,966.6 "," 86,446.5 "," 86,328.4 "," 88,232.8 "," 90,360.2 "," 91,100.6 "," 92,593 "," 90,228.1 "," 94,848.8 "," 93,773 "," 95,587.2 "," 96,028.3 "," 99,481.8 "," 97,120.8 "," 98,340.9 "," 99,544.7 "," 103,941.5 "," 103,265.1 "," 104,436.6 "," 106,263.8 "," 109,478.6 "," 106,010 "," 107,670.7 "," 109,770.3 "," 116,767.2 "," 115,703.6 "," 114,447.3 "," 116,683.2 "," 125,245 "," 120,635.1 "," 123,701.7 "," 127,699 "," 131,359.4 "," 125,745.4 "," 125,250.6 "," 127,910.5 "," 128,661.2 "," 122,903.7 "," 102,636.5 ",
     Goods Producing Industries ," 1,014.2 "," 1,090.9 "," 1,205.7 "," 1,269.6 "," 1,166.6 "," 1,247.6 "," 1,341.6 "," 1,348.2 "," 1,282.8 "," 1,366.2 "," 1,433.3 "," 1,435.7 "," 1,381.2 "," 1,466.9 "," 1,558.3 "," 1,658.5 "," 1,559.7 "," 1,778.7 "," 1,919.8 "," 2,064.3 "," 2,148.4 "," 2,344.5 "," 2,411.8 "," 2,509.2 "," 2,423.3 "," 2,649.5 "," 2,842.6 "," 2,978.9 "," 2,818.8 "," 2,885 "," 3,044 "," 3,036.5 "," 3,015.2 "," 3,395.8 "," 3,542.3 "," 3,599.7 "," 3,524.9 "," 3,814.8 "," 3,876.8 "," 3,901.7 "," 3,552.3 "," 3,433.6 "," 3,392.4 "," 3,145 "," 3,141.3 "," 3,515.9 "," 3,576.4 "," 3,606.8 "," 3,332.4 "," 3,717.1 "," 3,980.8 "," 4,077.6 "," 4,001.2 "," 4,513 "," 4,878.8 "," 4,773.5 "," 4,485.3 "," 4,931.3 "," 5,212.5 "," 5,281 "," 4,905.9 "," 5,383.1 "," 5,788.4 "," 5,903.5 "," 6,132.1 "," 6,292.3 "," 6,689.3 "," 6,701.7 "," 6,288.8 "," 6,650 "," 7,103.7 "," 7,543.4 "," 7,257 "," 7,757 "," 8,244.3 "," 8,381.4 "," 8,094.7 "," 8,766.1 "," 9,209.2 "," 9,359.5 "," 8,689.3 "," 9,649.7 "," 10,298.8 "," 10,738.8 "," 10,426.4 "," 10,644.5 "," 10,643.2 "," 11,333.9 "," 10,354.3 "," 11,258.4 "," 12,243.3 "," 12,532.2 "," 11,584.1 "," 11,527.4 "," 11,627.2 "," 11,459.2 "," 10,787.7 "," 11,144.2 "," 11,587.4 "," 11,755.9 "," 11,864.1 "," 12,679.4 "," 14,337.5 "," 15,033.4 "," 12,884.9 "," 12,242.4 "," 11,925.6 "," 11,956.1 "," 12,138.6 "," 12,982.1 "," 13,008.5 "," 12,933.5 "," 12,553.7 "," 12,164.4 "," 12,910.8 "," 13,892.9 "," 14,200.2 "," 15,067.4 "," 16,034.7 "," 16,802.6 "," 15,536.9 "," 16,063.9 "," 17,113.8 "," 18,213.8 "," 17,042.8 "," 18,236 "," 18,799.5 "," 18,996.7 "," 18,364.8 "," 18,981.5 "," 19,980.6 "," 19,761 "," 17,942.8 "," 18,092.7 "," 19,002.3 "," 17,438.3 "," 15,958.8 "," 18,384.1 "," 20,833.2 "," 21,231.4 "," 20,738.5 "," 22,312.1 "," 21,851.8 "," 22,312.4 "," 22,085 "," 22,016.2 "," 22,328.6 "," 22,449.1 "," 22,988.7 "," 23,747.3 "," 22,750.7 "," 22,912.9 "," 21,280.9 "," 22,409.9 "," 23,159.2 "," 23,516.2 "," 23,202.3 "," 24,021.3 "," 24,757.9 "," 24,580.3 "," 24,836.8 "," 26,180.2 "," 26,063.8 "," 25,905.2 "," 23,963.9 "," 25,484.1 "," 25,743.7 "," 27,496.1 "," 26,726.2 "," 26,434.6 "," 27,587.5 "," 29,628 "," 28,285.4 "," 30,799.7 "," 33,733.7 "," 34,480.1 "," 31,413.5 "," 30,958.9 "," 32,894.3 "," 29,195.4 "," 31,006.3 "," 26,011.6 ",
         Manufacturing , 654.9 , 692.9 , 785.1 , 810.1 , 744.8 , 793.6 , 877.8 , 896.9 , 843.6 , 913.9 , 968.3 , 969.5 , 958.7 ," 1,026.8 "," 1,113.2 "," 1,180.5 "," 1,103.5 "," 1,297.3 "," 1,419.3 "," 1,518.2 "," 1,589.7 "," 1,707.1 "," 1,758.1 "," 1,807.3 "," 1,758 "," 1,935.2 "," 2,065.8 "," 2,059.1 "," 1,900.9 "," 1,878.2 "," 1,939.1 "," 1,857.2 "," 1,845.5 "," 2,053.3 "," 2,150 "," 2,120.1 "," 2,038.9 "," 2,273.2 "," 2,291.6 "," 2,327.6 "," 2,070.1 "," 2,109.7 "," 2,066.9 "," 1,973 "," 1,973.1 "," 2,278.4 "," 2,452.8 "," 2,543.1 "," 2,308.4 "," 2,657.4 "," 2,935.1 "," 3,072 "," 2,983.9 "," 3,457.7 "," 3,798.8 "," 3,693.9 "," 3,414 "," 3,893.5 "," 4,103.2 "," 4,101.1 "," 3,796 "," 4,222.1 "," 4,577.2 "," 4,607.8 "," 4,826.9 "," 4,957.3 "," 5,171.9 "," 5,040.8 "," 4,648.3 "," 4,990.2 "," 5,353.5 "," 5,685.8 "," 5,505.6 "," 5,910.1 "," 6,245.5 "," 6,302.4 "," 5,955.3 "," 6,684.8 "," 6,916.8 "," 7,034 "," 6,552.4 "," 7,371.7 "," 7,841 "," 8,087.5 "," 7,792.6 "," 7,827.2 "," 7,642.9 "," 8,193.1 "," 7,373.2 "," 8,056.9 "," 8,630.7 "," 8,870.6 "," 8,126 "," 8,060.7 "," 8,221.8 "," 8,142.3 "," 7,577.1 "," 8,242.1 "," 8,655.8 "," 8,944.7 "," 9,220.8 "," 10,097.7 "," 11,456.4 "," 12,060.1 "," 9,987.1 "," 9,397.7 "," 9,031.5 "," 9,222.4 "," 9,497.9 "," 10,571.2 "," 10,485.6 "," 10,435.1 "," 10,250.7 "," 9,903.5 "," 10,522.5 "," 11,453.7 "," 11,810 "," 12,818 "," 13,688.6 "," 14,412.4 "," 13,159.2 "," 13,862.6 "," 14,791.2 "," 15,785.5 "," 14,514.6 "," 15,847.7 "," 16,162 "," 16,242 "," 15,362.8 "," 16,262.2 "," 16,941.3 "," 16,397.5 "," 14,482.5 "," 14,278.6 "," 14,831.3 "," 12,800.3 "," 11,462.5 "," 13,734.4 "," 16,047.7 "," 16,006.3 "," 16,007.8 "," 17,493.5 "," 17,049.7 "," 17,375.3 "," 17,381.4 "," 17,114 "," 17,181.4 "," 17,130 "," 17,745.5 "," 18,319.6 "," 17,166.4 "," 17,265.7 "," 15,965.6 "," 16,885.9 "," 17,425.1 "," 17,608.4 "," 17,252.6 "," 17,994.7 "," 18,447 "," 18,115.4 "," 18,476.3 "," 19,581.8 "," 19,376.4 "," 19,163.7 "," 17,600.3 "," 18,990 "," 19,386.2 "," 21,295.1 "," 20,808.7 "," 20,681.3 "," 21,835.9 "," 23,683.9 "," 22,562.7 "," 25,174 "," 28,045.9 "," 28,628.8 "," 25,482.6 "," 25,134.5 "," 26,921 "," 22,973.1 "," 25,068.5 "," 22,871.1 ",
         Construction , 228.5 , 256.3 , 272.6 , 294.9 , 271.7 , 301.4 , 305.9 , 290.3 , 278.5 , 293.4 , 300.5 , 290 , 254.5 , 270.9 , 266.8 , 291.9 , 267.5 , 294.7 , 295.2 , 329.9 , 344.9 , 379 , 392.3 , 439.1 , 441.2 , 480.6 , 528.5 , 647.4 , 646.7 , 739.2 , 813.4 , 880.3 , 879.4 ," 1,032.3 "," 1,076.9 "," 1,166.7 "," 1,169 "," 1,220.1 "," 1,247.3 "," 1,248.1 "," 1,159.5 "," 1,005.8 "," 1,000.2 ", 877.3 , 856.1 , 872.3 , 722.6 , 685.4 , 695.7 , 742.7 , 729 , 670.2 , 672.8 , 691.8 , 702.2 , 693.6 , 704 , 694.8 , 752.8 , 811.1 , 748.7 , 762.2 , 794.1 , 921.9 , 952.6 , 940.8 ," 1,097.3 "," 1,268.1 "," 1,248.2 "," 1,250.6 "," 1,340 "," 1,476.6 "," 1,343.7 "," 1,400.2 "," 1,515 "," 1,594.3 "," 1,641.1 "," 1,576.6 "," 1,767 "," 1,830.7 "," 1,625.9 "," 1,732.9 "," 1,918.6 "," 2,050.6 "," 2,097.4 "," 2,186.2 "," 2,316.2 "," 2,481.2 "," 2,348.9 "," 2,473 "," 2,835.3 "," 2,889.1 "," 2,715.8 "," 2,673.8 "," 2,707.8 "," 2,591.1 "," 2,454 "," 2,199.9 "," 2,222 "," 2,168.1 "," 2,018.4 "," 1,948.6 "," 2,101.3 "," 2,123.2 "," 1,999.5 "," 1,909.9 "," 1,990.6 "," 1,884.6 "," 1,811.4 "," 1,599.2 "," 1,653.1 "," 1,621.8 "," 1,495.8 "," 1,434.9 "," 1,550 "," 1,544.9 "," 1,499.2 "," 1,369.4 "," 1,465.2 "," 1,510.8 "," 1,553.5 "," 1,381.9 "," 1,485.6 "," 1,589.7 "," 1,597.5 "," 1,447.2 "," 1,658.9 "," 1,781.7 "," 1,912.2 "," 1,758 "," 2,063 "," 2,362.6 "," 2,473.7 "," 2,720.7 "," 3,230.5 "," 3,546.3 "," 3,604.3 "," 3,575.5 "," 3,766.7 "," 4,043.4 "," 3,612 "," 3,579.1 "," 3,564.3 "," 3,649.8 "," 3,485.1 "," 3,505 "," 3,819.7 "," 4,030.2 "," 3,973.8 "," 4,003.6 "," 4,172.6 "," 4,275 "," 4,096.1 "," 4,109.5 "," 4,348.6 "," 4,573.1 "," 4,670.9 "," 4,617 "," 4,885.2 "," 5,010.7 "," 4,876.6 "," 5,105 "," 5,201.4 "," 5,250.8 "," 4,986.4 "," 5,063.1 "," 4,891.1 "," 4,728.8 "," 4,607 "," 4,326 "," 4,320.6 "," 4,495.6 "," 4,330.7 "," 4,104.1 "," 4,182.4 "," 4,390 "," 4,461.1 "," 4,269.5 "," 4,399.2 "," 4,659.5 "," 4,458.8 "," 1,793.3 ",
         Utilities , 61.3 , 71.2 , 73.5 , 83.2 , 73.4 , 76.8 , 81 , 83.8 , 78.8 , 82.5 , 83.4 , 89.9 , 93.7 , 95.8 , 100.6 , 106.1 , 116.3 , 109.1 , 120.6 , 123.4 , 125.9 , 161.6 , 162.5 , 155.9 , 123.2 , 128.4 , 136.6 , 146.2 , 155.8 , 161.1 , 175.3 , 180.6 , 179.8 , 197.7 , 205.3 , 197.5 , 200.7 , 210.9 , 228.9 , 215.4 , 221.9 , 224 , 229.9 , 208.6 , 236 , 294 , 328.1 , 305.3 , 264.7 , 253.9 , 254.2 , 273.8 , 289.7 , 307.7 , 323.2 , 328.4 , 311.2 , 291.9 , 302.4 , 311.9 , 303.8 , 344.6 , 362.1 , 312.4 , 303.9 , 344.2 , 371.6 , 343.6 , 347.5 , 367.4 , 370.9 , 339.3 , 366.8 , 404.8 , 441.1 , 441 , 449.5 , 456.9 , 477.5 , 444.4 , 466.9 , 501.7 , 494.1 , 553 , 488.3 , 579.8 , 632.7 , 606.7 , 582.4 , 676.7 , 729.6 , 724.2 , 699.2 , 753.6 , 660.2 , 685.8 , 718.3 , 661.5 , 668.9 , 600.1 , 585.6 , 595.9 , 740.9 , 812.9 , 863.4 , 901.1 , 871.4 , 817.3 , 798.7 , 781.9 , 840.7 , 848.4 , 780.3 , 800.7 , 812.7 , 868.1 , 865.2 , 855.8 , 849.9 , 852.2 , 794.2 , 791.9 , 807.5 , 808.5 , 900.2 , 913.8 , 952.2 , 941.8 ," 1,058.2 ", 933.2 , 948.3 , 971.7 , 955.1 ," 1,065.7 ", 913.3 ," 1,064.6 ", 861 ," 1,047.8 ", 992 ," 1,151 "," 1,089.8 "," 1,209.5 "," 1,208.1 "," 1,257.6 "," 1,186.2 "," 1,367.9 "," 1,299.2 "," 1,257 "," 1,238.3 "," 1,393.2 "," 1,381.4 "," 1,341.6 "," 1,186 "," 1,382.6 "," 1,351.8 "," 1,301 "," 1,244.1 "," 1,376.2 "," 1,390.1 "," 1,419.9 "," 1,448.2 "," 1,459.8 "," 1,450.6 "," 1,457.3 "," 1,341.7 "," 1,396.1 "," 1,432.9 "," 1,436.9 "," 1,276.4 "," 1,394.3 "," 1,392.1 "," 1,414.3 "," 1,358.9 "," 1,487.7 "," 1,467.3 "," 1,423.4 "," 1,434.8 "," 1,520 "," 1,532.2 "," 1,524 "," 1,443.8 "," 1,319.3 ",
         Other Goods Industries * , 69.5 , 70.5 , 74.5 , 81.4 , 76.7 , 75.8 , 76.9 , 77.2 , 81.9 , 76.4 , 81.1 , 86.3 , 74.3 , 73.4 , 77.7 , 80 , 72.4 , 77.6 , 84.7 , 92.8 , 87.9 , 96.8 , 98.9 , 106.9 , 100.9 , 105.3 , 111.7 , 126.2 , 115.4 , 106.5 , 116.2 , 118.4 , 110.5 , 112.5 , 110.1 , 115.4 , 116.3 , 110.6 , 109 , 110.6 , 100.8 , 94.1 , 95.4 , 86.1 , 76.1 , 71.2 , 72.9 , 73 , 63.6 , 63.1 , 62.5 , 61.6 , 54.8 , 55.8 , 54.6 , 57.6 , 56.1 , 51.1 , 54.1 , 56.9 , 57.4 , 54.2 , 55 , 61.4 , 48.7 , 50 , 48.5 , 49.2 , 44.8 , 41.8 , 39.3 , 41.7 , 40.9 , 41.9 , 42.7 , 43.7 , 48.8 , 47.8 , 47.9 , 50.4 , 44.1 , 43.4 , 45.1 , 47.7 , 48.1 , 51.3 , 51.4 , 52.9 , 49.8 , 51.8 , 47.7 , 48.3 , 43.1 , 39.3 , 37.4 , 40 , 38.3 , 40.7 , 40.7 , 43 , 39.3 , 37.2 , 38.9 , 37.2 , 34.9 , 33.7 , 32.1 , 31.8 , 30.6 , 29.8 , 29.1 , 28.2 , 26.9 , 25.3 , 25.6 , 26.2 , 25.8 , 24.2 , 31 , 27.2 , 30 , 27.5 , 29.5 , 30.1 , 30.5 , 27.3 , 26.4 , 31.2 , 31.6 , 28.1 , 28 , 29.2 , 31.5 , 27.7 , 27.2 , 27.1 , 31 , 26.4 , 26.8 , 30.7 , 28.9 , 30 , 29.7 , 29.7 , 32.3 , 29.3 , 28.3 , 31.9 , 31.1 , 30.9 , 30.3 , 30.6 , 33.2 , 31.9 , 33.7 , 33.7 , 34.7 , 33.4 , 35.6 , 34.3 , 35.7 , 33.6 , 35.4 , 33.4 , 35.5 , 34.9 , 33.5 , 35.3 , 34.1 , 33 , 38.9 , 34.2 , 33.1 , 33.9 , 38.1 , 37.9 , 35 , 34.9 , 41.9 , 38.8 , 35.2 , 27.9 ,
     Services Producing Industries ," 1,991.7 "," 2,019.6 "," 2,105.2 "," 2,206.6 "," 2,154.2 "," 2,156.5 "," 2,282.7 "," 2,407.8 "," 2,344.4 "," 2,355.9 "," 2,485 "," 2,651.5 "," 2,627.6 "," 2,644.3 "," 2,852.5 "," 3,037.1 "," 2,902.7 "," 2,982 "," 3,214.9 "," 3,443.7 "," 3,508.7 "," 3,561.2 "," 3,838.6 "," 4,106.2 "," 4,119.4 "," 4,242.7 "," 4,563.6 "," 4,810.9 "," 4,807.4 "," 4,885.3 "," 5,129.2 "," 5,584.8 "," 5,242.6 "," 5,395 "," 5,701.9 "," 5,915 "," 5,735.7 "," 5,763.8 "," 6,095.4 "," 6,301.2 "," 6,195.7 "," 6,068.4 "," 6,055.8 "," 6,134.5 "," 5,903.8 "," 5,816 "," 5,985.2 "," 6,483.3 "," 6,262.6 "," 6,461.1 "," 6,791.7 "," 7,373.2 "," 7,048.2 "," 7,383.9 "," 7,842.9 "," 8,676.5 "," 7,993 "," 8,757.7 "," 9,302.5 "," 9,917.5 "," 10,170.4 "," 10,320.7 "," 10,803.4 "," 11,528.1 "," 11,003.1 "," 11,359.7 "," 11,875 "," 12,482.3 "," 11,878.2 "," 11,991.5 "," 12,715.9 "," 13,551.4 "," 13,125.8 "," 13,742.6 "," 14,436.1 "," 16,030 "," 15,384.4 "," 15,477.4 "," 16,621.9 "," 17,934 "," 16,763.6 "," 17,324.6 "," 18,459.1 "," 19,376 "," 18,901 "," 19,101.8 "," 19,720.7 "," 21,178.9 "," 20,898.3 "," 21,498.5 "," 22,103.3 "," 22,695.5 "," 20,988.8 "," 20,813.7 "," 20,821.2 "," 21,150.9 "," 20,009.2 "," 21,416.2 "," 21,944.5 "," 23,155.2 "," 22,366.5 "," 22,996.6 "," 24,261 "," 25,097.9 "," 24,514.6 "," 23,922.9 "," 23,715.4 "," 24,139.6 "," 24,762.5 "," 24,624.6 "," 25,050 "," 25,862.6 "," 25,816.5 "," 24,060.8 "," 25,994.5 "," 27,615.7 "," 28,366 "," 28,091.3 "," 29,415.6 "," 30,997.4 "," 30,850.4 "," 31,319.4 "," 32,825.3 "," 34,985.5 "," 34,496.7 "," 34,891.9 "," 36,866 "," 39,945.6 "," 40,042.5 "," 42,305.2 "," 43,654.7 "," 46,144.2 "," 44,843.3 "," 44,190.8 "," 44,660.2 "," 43,373 "," 43,429.9 "," 44,005.6 "," 45,486.6 "," 48,771.6 "," 50,522.6 "," 51,590.8 "," 52,450.9 "," 55,920.8 "," 56,408.4 "," 55,803.4 "," 57,454.9 "," 59,250.3 "," 59,622.2 "," 59,439.4 "," 58,355 "," 62,052.7 "," 62,965.6 "," 63,002.1 "," 63,146.6 "," 65,968 "," 64,588.3 "," 64,280.7 "," 64,840.5 "," 69,130.3 "," 68,203.3 "," 67,498.9 "," 69,487.9 "," 72,911.2 "," 71,189.1 "," 71,148.8 "," 72,875.6 "," 78,210.1 "," 77,666.1 "," 76,682.9 "," 77,708.8 "," 83,378.1 "," 81,222.4 "," 81,077.6 "," 83,171.9 "," 86,369.6 "," 83,690.9 "," 83,036.4 "," 83,959.8 "," 88,154.1 "," 80,990.8 "," 68,126 ",
         Wholesale & Retail Trade , 672.8 , 704.9 , 716 , 724.8 , 677.5 , 711 , 759.3 , 783.2 , 746.8 , 777.6 , 826.7 , 870.6 , 824.5 , 832.1 , 917.7 , 946.4 , 883.6 , 919.2 ," 1,020.7 "," 1,058.9 ", 985.3 ," 1,015.7 "," 1,088.3 "," 1,145.1 "," 1,043.1 "," 1,047.1 "," 1,096.3 "," 1,157.9 "," 1,131.4 "," 1,115.5 "," 1,181.3 "," 1,252.9 "," 1,150.1 "," 1,141.2 "," 1,244 "," 1,336.5 "," 1,198.7 "," 1,165.5 "," 1,263.2 "," 1,360.3 "," 1,198.3 "," 1,156 "," 1,143.4 "," 1,185.8 "," 1,090.2 "," 1,126.7 "," 1,171.9 "," 1,272.7 "," 1,121.1 "," 1,302.7 "," 1,352.7 "," 1,466.2 "," 1,312.3 "," 1,548.7 "," 1,608.2 "," 1,709 "," 1,310 "," 1,754 "," 1,832.4 "," 1,866.8 "," 2,120.2 "," 2,118.2 "," 2,104.7 "," 2,312.1 "," 2,360.5 "," 2,404.3 "," 2,491 "," 2,541.8 "," 2,321.9 "," 2,379 "," 2,485.6 "," 2,699.7 "," 2,806.4 "," 2,884.8 "," 3,054.8 "," 3,307.8 "," 3,185 "," 3,298.8 "," 3,481.4 "," 3,741.6 "," 3,579.6 "," 3,718.9 "," 3,954.4 "," 4,125.2 "," 4,113.4 "," 4,091.4 "," 4,223.7 "," 4,539.6 "," 4,303 "," 4,404.5 "," 4,494.8 "," 4,337 "," 4,135.4 "," 4,011.7 "," 3,953.1 "," 4,105.8 "," 4,071.8 "," 4,568.6 "," 4,677.7 "," 5,101.7 "," 4,694.9 "," 5,061.4 "," 5,435.5 "," 5,540.2 "," 5,030.2 "," 5,009.5 "," 4,923.7 "," 5,130.7 "," 5,066.4 "," 5,499.6 "," 5,792.4 "," 5,887.6 "," 5,547.9 "," 5,465.9 "," 5,692.5 "," 6,126.8 "," 6,166 "," 6,669.6 "," 7,191.2 "," 7,665.9 "," 7,661.6 "," 8,329.5 "," 9,080.8 "," 9,583.6 "," 9,245.9 "," 10,041.8 "," 11,014.3 "," 11,754 "," 11,149.1 "," 12,281 "," 12,713.2 "," 12,954.4 "," 11,169.7 "," 11,506.6 "," 11,792.3 "," 10,617.5 "," 10,968.8 "," 12,416.5 "," 13,103.3 "," 13,907.3 "," 13,750.4 "," 14,667.2 "," 14,851.1 "," 15,908.8 "," 15,925.7 "," 17,074.3 "," 17,292.3 "," 17,717.3 "," 16,705.8 "," 17,432 "," 16,370.9 "," 17,129.1 "," 16,878.4 "," 17,053.8 "," 17,084.6 "," 17,478.5 "," 15,996.8 "," 16,323.7 "," 15,784.9 "," 16,619.1 "," 15,244 "," 16,041.9 "," 16,629.3 "," 17,669.3 "," 15,806.7 "," 17,728 "," 18,977.2 "," 21,708.3 "," 19,934.8 "," 19,625.2 "," 19,768.5 "," 22,214.9 "," 20,015.2 "," 21,491.9 "," 22,391.6 "," 22,622 "," 19,861.6 "," 20,624.8 "," 20,833.8 "," 21,858.3 "," 18,000.2 "," 16,232.8 ",
